,Pclass,SibSp,Parch,Sex_female,Sex_male,Age_Children,Age_Teenage,Age_Adult,Age_Elder,Embarked_C,Embarked_Q,Embarked_S,Fare_Low_fare,Fare_median_fare,Fare_Average_fare,Fare_high_fare
0,3,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0
1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1
2,3,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0
3,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1
4,3,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0
5,3,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0
6,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1
7,3,3,1,0,1,1,0,0,0,0,0,1,0,0,1,0
8,3,0,2,1,0,0,0,1,0,0,0,1,0,1,0,0
9,2,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0
10,3,1,1,1,0,1,0,0,0,0,0,1,0,0,1,0
11,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0
12,3,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0
13,3,1,5,0,1,0,0,1,0,0,0,1,0,0,0,1
14,3,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0
15,2,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0
16,3,4,1,0,1,1,0,0,0,0,1,0,0,0,1,0
17,2,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0
18,3,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0
19,3,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0
20,2,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0
21,2,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0
22,3,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0
23,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1
24,3,3,1,1,0,1,0,0,0,0,0,1,0,0,1,0
25,3,1,5,1,0,0,0,1,0,0,0,1,0,0,0,1
26,3,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0
27,1,3,2,0,1,0,1,0,0,0,0,1,0,0,0,0
28,3,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0
29,3,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0
30,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0
31,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0
32,3,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0
33,2,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0
34,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1
35,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1
36,3,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0
37,3,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0
38,3,2,0,1,0,0,1,0,0,0,0,1,0,0,1,0
39,3,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0
40,3,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0
41,2,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0
42,3,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0
43,2,1,2,1,0,1,0,0,0,1,0,0,0,0,0,1
44,3,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0
45,3,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0
46,3,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0
47,3,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0
48,3,2,0,0,1,0,0,1,0,1,0,0,0,0,1,0
49,3,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0
50,3,4,1,0,1,1,0,0,0,0,0,1,0,0,0,1
51,3,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0
52,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1
53,2,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0
54,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1
55,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1
56,2,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0
57,3,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0
58,2,1,2,1,0,1,0,0,0,0,0,1,0,0,1,0
59,3,5,2,0,1,1,0,0,0,0,0,1,0,0,0,1
60,3,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0
61,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
62,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1
63,3,3,2,0,1,1,0,0,0,0,0,1,0,0,1,0
64,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0
65,3,1,1,0,1,0,0,1,0,1,0,0,0,0,1,0
66,2,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0
67,3,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0
68,3,4,2,1,0,0,1,0,0,0,0,1,0,1,0,0
69,3,2,0,0,1,0,0,1,0,0,0,1,0,1,0,0
70,2,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0
71,3,5,2,1,0,0,1,0,0,0,0,1,0,0,0,1
72,2,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1
73,3,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0
74,3,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1
75,3,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0
76,3,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0
77,3,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0
78,2,0,2,0,1,0,0,0,0,0,0,1,0,0,1,0
79,3,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0
80,3,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0
81,3,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0
82,3,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0
83,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1
84,2,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0
85,3,3,0,1,0,0,0,1,0,0,0,1,0,0,1,0
86,3,1,3,0,1,0,1,0,0,0,0,1,0,0,0,1
87,3,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0
88,1,3,2,1,0,0,0,1,0,0,0,1,0,0,0,0
89,3,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0
90,3,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0
91,3,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0
92,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1
93,3,1,2,0,1,0,0,1,0,0,0,1,0,0,1,0
94,3,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0
95,3,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0
96,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1
97,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1
98,2,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0
99,2,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0
100,3,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0
101,3,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0
102,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1
103,3,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0
104,3,2,0,0,1,0,0,1,0,0,0,1,0,1,0,0
105,3,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0
106,3,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0
107,3,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0
108,3,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0
109,3,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0
110,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1
111,3,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0
112,3,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0
113,3,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0
114,3,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
115,3,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0
116,3,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0
117,2,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0
118,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0
119,3,4,2,1,0,1,0,0,0,0,0,1,0,0,0,1
120,2,2,0,0,1,0,0,1,0,0,0,1,0,0,0,1
121,3,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0
122,2,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0
123,2,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0
124,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1
125,3,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0
126,3,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0
127,3,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0
128,3,1,1,1,0,0,0,1,0,1,0,0,0,0,1,0
129,3,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0
130,3,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0
131,3,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0
132,3,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0
133,2,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0
134,2,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0
135,2,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0
136,1,0,2,1,0,0,1,0,0,0,0,1,0,0,1,0
137,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1
138,3,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0
139,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1
140,3,0,2,1,0,0,0,1,0,1,0,0,0,0,1,0
141,3,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0
142,3,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0
143,3,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0
144,2,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0
145,2,1,1,0,1,0,1,0,0,0,0,1,0,0,0,1
146,3,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0
147,3,2,2,1,0,1,0,0,0,0,0,1,0,0,0,1
148,2,0,2,0,1,0,0,1,0,0,0,1,0,0,1,0
149,2,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0
150,2,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0
151,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1
152,3,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0
153,3,0,2,0,1,0,0,1,0,0,0,1,0,0,1,0
154,3,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0
155,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1
156,3,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0
157,3,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0
158,3,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0
159,3,8,2,0,1,0,0,1,0,0,0,1,0,0,0,1
160,3,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0
161,2,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0
162,3,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0
163,3,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0
164,3,4,1,0,1,1,0,0,0,0,0,1,0,0,0,1
165,3,0,2,0,1,1,0,0,0,0,0,1,0,0,1,0
166,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1
167,3,1,4,1,0,0,0,0,1,0,0,1,0,0,1,0
168,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0
169,3,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1
170,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1
171,3,4,1,0,1,1,0,0,0,0,1,0,0,0,1,0
172,3,1,1,1,0,1,0,0,0,0,0,1,0,1,0,0
173,3,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0
174,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0
175,3,1,1,0,1,0,1,0,0,0,0,1,1,0,0,0
176,3,3,1,0,1,0,0,1,0,0,0,1,0,0,1,0
177,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0
178,2,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0
179,3,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
180,3,8,2,1,0,0,0,1,0,0,0,1,0,0,0,1
181,2,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0
182,3,4,2,0,1,1,0,0,0,0,0,1,0,0,0,1
183,2,2,1,0,1,1,0,0,0,0,0,1,0,0,0,1
184,3,0,2,1,0,1,0,0,0,0,0,1,0,0,1,0
185,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1
